date,action,details,realized_pnl,cum_realized,reserve,position_value
2020-10-15,ENTRY,7x$80p @$11.10 + 21x$65p @$5.60,0,0.0,80470.0,18445.0
2020-11-25,ROLL_CLOSE,"Recovered $10,605 from [7x$80p @$11.10 [2022-01-21], 21x$65p @$5.60 [2022-01-21]]",-8925.0,-8925.0,91075.0,0
2020-11-25,ENTRY,9x$85p @$8.30 + 17x$70p @$6.90,0,-8925.0,71875.0,15660.0
2020-12-03,ROLL_CLOSE,"Recovered $12,070 from [9x$85p @$8.30 [2022-01-21], 17x$70p @$6.90 [2022-01-21]]",-7130.0,-16055.0,83945.0,0
2020-12-03,ENTRY,9x$89p @$8.50 + 27x$73p @$4.30,0,-16055.0,64685.0,18495.0
2021-02-04,ROLL_CLOSE,"Recovered $6,030 from [9x$89p @$8.50 [2022-01-21], 27x$73p @$4.30 [2022-01-21]]",-13230.0,-29285.0,70715.0,0
2021-02-04,ENTRY,7x$115.0p @$10.80 + 24x$93.96p @$4.90,0,-29285.0,51395.0,18285.0
2021-03-04,PROFIT_TAKE_1,Sell 4x$115.0p @$21.10 | Sell 12x$93.96p @$11.00,11440.0,-17845.0,73035.0,20640.0
2021-04-01,RELOAD_PARTIAL,Buy 1x$115.0p @$16.40 | Buy 1x$93.96p @$7.90,0,-17845.0,70605.0,16365.0
2021-04-08,RELOAD_FULL,Buy 1x$115.0p @$14.90 | Buy 3x$93.96p @$7.00,0,-17845.0,67015.0,18285.0
2021-06-17,CALENDAR_ROLL,"Recovered $15,910, Deployed $8,380",770.0,-17075.0,74545.0,8185.0
2021-07-08,BETWEEN_TRIM,Trim 1x$115.0p @$14.90 | Trim 1x$93.96p @$7.40,1170.0,-15905.0,76775.0,17357.5
2021-07-15,BETWEEN_TRIM,Trim 1x$115.0p @$17.00 | Trim 1x$93.96p @$8.45,1485.0,-14420.0,79320.0,17080.0
2021-07-22,BETWEEN_TRIM,Trim 1x$115.0p @$14.60 | Trim 1x$93.96p @$7.15,1115.0,-13305.0,81495.0,12412.5
2021-08-19,BETWEEN_TRIM,Trim 1x$115.0p @$17.20 | Trim 1x$93.96p @$8.40,1500.0,-11805.0,84055.0,11962.5
2021-09-02,RELOAD_PARTIAL,Buy 2x$115.0p @$13.00 | Buy 4x$93.96p @$6.25,0,-11805.0,78955.0,13727.5
2021-10-21,RELOAD_FULL,Buy 2x$115.0p @$12.50 | Buy 6x$93.96p @$5.70,0,-11805.0,73035.0,18427.5
2021-12-01,BETWEEN_TRIM,Trim 1x$115.0p @$23.85 | Trim 1x$93.96p @$11.80,1967.18,-9837.82,76600.0,35557.5
2021-12-15,BETWEEN_TRIM,Trim 1x$115.0p @$25.60 | Trim 2x$93.96p @$12.95,3130.36,-6707.45,81750.0,33122.5
2022-01-05,PROFIT_TAKE_2,Sell 2x$115.0p @$30.85 | Sell 10x$93.96p @$15.45,15049.82,8342.36,103370.0,17255.0
